epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4231,3.46694,4.20635,3.72333,0.0017,0.23906,0.00145,0.00043,3.33945,3.6725,3.3451,0.0677297,0.000162162,0.000162162
2,54.7085,3.31504,3.64173,3.21294,0.00252,0.28617,0.00246,0.00073,3.30787,inf,3.58218,0.034563,0.000328749,0.000328749
3,72.4306,2.87746,3.35125,2.94204,0.03096,0.05136,0.01391,0.00334,3.06572,7.1447,3.70862,0.00139591,0.000495012,0.000495012
4,89.1065,2.54579,3.06788,2.70284,0.14618,0.29667,0.10773,0.04024,2.39556,5.25797,2.84531,0.000498902,0.000498902,0.000498902
5,108.321,2.33107,2.84588,2.51366,0.29679,0.18291,0.14062,0.04524,2.46566,7.57926,2.94648,0.000498048,0.000498048,0.000498048
6,123.53,2.18993,2.66447,2.39163,0.40683,0.26763,0.2491,0.09898,2.23996,3.09403,2.61693,0.000496953,0.000496953,0.000496953
7,139.195,2.12367,2.52411,2.31804,0.38823,0.35044,0.30658,0.13673,2.11279,2.44615,2.42407,0.000495616,0.000495616,0.000495616
8,154.269,2.04122,2.44728,2.24436,0.35216,0.31576,0.2532,0.10867,2.08661,2.73307,2.44007,0.000494039,0.000494039,0.000494039
9,168.732,2.00099,2.3771,2.21504,0.43375,0.33619,0.33189,0.14848,2.04054,2.37427,2.36111,0.000492224,0.000492224,0.000492224
10,183.02,1.9698,2.25521,2.15984,0.47717,0.36718,0.36703,0.16881,1.99825,2.26107,2.32036,0.000490173,0.000490173,0.000490173
11,198.784,1.92225,2.23166,2.13003,0.48248,0.42093,0.3974,0.1814,1.88829,2.27052,2.23436,0.000487886,0.000487886,0.000487886
12,212.777,1.91219,2.19449,2.10686,0.51519,0.43498,0.42532,0.19845,1.95489,2.16596,2.27483,0.000485368,0.000485368,0.000485368
13,226.122,1.87624,2.12084,2.0756,0.49255,0.40825,0.4152,0.20336,1.91154,2.11884,2.24078,0.00048262,0.00048262,0.00048262
14,241.387,1.85766,2.08078,2.06001,0.4927,0.42261,0.41403,0.1931,1.93965,2.31987,2.24652,0.000479644,0.000479644,0.000479644
15,254.947,1.82778,2.05415,2.04309,0.55753,0.4265,0.44576,0.21622,1.89102,2.03969,2.21736,0.000476445,0.000476445,0.000476445
16,269.065,1.79453,1.99109,2.00463,0.63413,0.46344,0.51037,0.25593,1.81334,1.95799,2.13343,0.000473024,0.000473024,0.000473024
17,281.466,1.81471,2.0009,1.99587,0.554,0.47718,0.48022,0.23653,1.85211,1.93655,2.1829,0.000469386,0.000469386,0.000469386
18,296.005,1.7753,1.95229,1.98179,0.54907,0.501,0.50209,0.24614,1.85121,1.96381,2.14278,0.000465534,0.000465534,0.000465534
19,311.209,1.76329,1.94242,1.9669,0.55885,0.51832,0.52584,0.26488,1.77859,1.89683,2.12773,0.000461471,0.000461471,0.000461471
