epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2040.13,1.20733,1.0258,1.78616,0.71675,0.65307,0.70375,0.41053,1.53042,1.21824,2.2147,0.00032155,0.00032155,0.00032155
43,2087.66,1.19578,1.02849,1.77248,0.75348,0.62441,0.70158,0.41371,1.53831,1.23006,2.22699,0.000314051,0.000314051,0.000314051
44,2135.24,1.19002,0.99171,1.77026,0.69658,0.64271,0.68126,0.39428,1.54864,1.34793,2.23175,0.00030649,0.00030649,0.00030649
45,2182.44,1.16972,0.98403,1.73746,0.75949,0.63279,0.71182,0.42188,1.55613,1.21519,2.26269,0.000298877,0.000298877,0.000298877
46,2229.84,1.17138,0.98583,1.75101,0.69655,0.65453,0.70004,0.41863,1.5385,1.2272,2.22271,0.000291218,0.000291218,0.000291218
47,2280.23,1.14741,0.94812,1.72866,0.72897,0.66206,0.70277,0.41039,1.53985,1.20976,2.23886,0.00028352,0.00028352,0.00028352
48,2327.05,1.13603,0.94616,1.72052,0.68386,0.66148,0.68679,0.39992,1.55528,1.25365,2.2864,0.000275792,0.000275792,0.000275792
49,2374,1.12986,0.92652,1.70739,0.73012,0.65849,0.70834,0.4202,1.53163,1.21048,2.22475,0.000268041,0.000268041,0.000268041
50,2420.74,1.12004,0.91426,1.69854,0.70612,0.6589,0.68975,0.40268,1.53546,1.20958,2.25409,0.000260274,0.000260274,0.000260274
51,2467.68,1.10868,0.92087,1.70401,0.71749,0.66283,0.68538,0.40234,1.54482,1.21436,2.24381,0.0002525,0.0002525,0.0002525
52,2514.66,1.11046,0.90985,1.69058,0.71701,0.66092,0.69138,0.39917,1.57975,1.22333,2.33187,0.000244726,0.000244726,0.000244726
53,2562.36,1.08013,0.87211,1.66775,0.74203,0.63648,0.70168,0.407,1.54126,1.20514,2.28986,0.000236959,0.000236959,0.000236959
54,2610.02,1.07402,0.85934,1.66176,0.76155,0.64983,0.70243,0.41014,1.54931,1.18986,2.29269,0.000229208,0.000229208,0.000229208
55,2656.67,1.06591,0.84501,1.65399,0.74085,0.6646,0.70377,0.4055,1.56588,1.17842,2.28602,0.00022148,0.00022148,0.00022148
56,2703.39,1.04708,0.84139,1.63623,0.72674,0.66341,0.70264,0.41671,1.54277,1.16412,2.27603,0.000213782,0.000213782,0.000213782
57,2750.81,1.03912,0.83295,1.63655,0.74865,0.65336,0.70661,0.42583,1.55406,1.1667,2.28243,0.000206123,0.000206123,0.000206123
58,2799.74,1.01587,0.81917,1.60103,0.6862,0.68552,0.6982,0.41527,1.55033,1.18897,2.27403,0.00019851,0.00019851,0.00019851
59,2846.52,1.00785,0.79089,1.59527,0.71989,0.65912,0.6859,0.40535,1.57673,1.23474,2.36177,0.000190949,0.000190949,0.000190949
60,2893.21,1.00426,0.78479,1.59688,0.73692,0.67044,0.71186,0.41422,1.56972,1.17825,2.3605,0.00018345,0.00018345,0.00018345
61,2941.8,1.01157,0.7993,1.61452,0.74843,0.65476,0.71201,0.42263,1.55958,1.17798,2.31856,0.000176018,0.000176018,0.000176018
62,2989.21,0.98065,0.7724,1.57626,0.74306,0.65535,0.69727,0.40461,1.57542,1.20043,2.3984,0.000168662,0.000168662,0.000168662
63,3035.79,0.97338,0.7622,1.56453,0.72437,0.66528,0.7005,0.40942,1.56373,1.19559,2.34929,0.000161389,0.000161389,0.000161389
64,3082.51,0.97114,0.75574,1.56335,0.70909,0.65911,0.68751,0.39719,1.55281,1.22507,2.35487,0.000154206,0.000154206,0.000154206
65,3130.15,0.94332,0.74635,1.54788,0.72483,0.66162,0.70241,0.41644,1.55772,1.18865,2.34074,0.00014712,0.00014712,0.00014712
66,3176.66,0.95028,0.72942,1.5528,0.74649,0.64731,0.69469,0.40987,1.58553,1.20492,2.38518,0.000140137,0.000140137,0.000140137
