epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1394.5,1.17405,0.96469,1.42523,0.72159,0.66518,0.72009,0.4242,1.48226,1.15191,1.78327,0.00032155,0.00032155,0.00032155
43,1428.2,1.17044,0.96289,1.43088,0.71414,0.66702,0.70797,0.41661,1.4917,1.17657,1.76688,0.000314051,0.000314051,0.000314051
44,1460.69,1.15494,0.92057,1.41146,0.71588,0.65956,0.70606,0.41403,1.52246,1.20868,1.79713,0.00030649,0.00030649,0.00030649
45,1493.46,1.14958,0.93016,1.40314,0.73341,0.62942,0.69705,0.41195,1.49764,1.1918,1.79345,0.000298877,0.000298877,0.000298877
46,1526.4,1.16002,0.9257,1.41925,0.74222,0.64657,0.70724,0.41781,1.49919,1.17718,1.78982,0.000291218,0.000291218,0.000291218
47,1558.93,1.12607,0.89487,1.38923,0.71324,0.67044,0.7118,0.42202,1.50118,1.1652,1.81143,0.00028352,0.00028352,0.00028352
48,1591.56,1.1278,0.89225,1.39791,0.7244,0.65845,0.71074,0.42396,1.49299,1.1633,1.7948,0.000275792,0.000275792,0.000275792
49,1624.1,1.11997,0.8695,1.3867,0.75701,0.63096,0.70445,0.41878,1.50044,1.15625,1.79721,0.000268041,0.000268041,0.000268041
50,1656.66,1.11189,0.86234,1.37785,0.72791,0.66193,0.70811,0.41957,1.49267,1.1446,1.79639,0.000260274,0.000260274,0.000260274
51,1689.42,1.09515,0.86452,1.37644,0.73643,0.64769,0.69964,0.41535,1.48605,1.16489,1.77637,0.0002525,0.0002525,0.0002525
52,1725.87,1.09803,0.87896,1.36399,0.73034,0.65385,0.69777,0.41381,1.52353,1.16614,1.82518,0.000244726,0.000244726,0.000244726
53,1759.49,1.06144,0.81182,1.34031,0.71109,0.67081,0.70382,0.41684,1.49488,1.13325,1.79335,0.000236959,0.000236959,0.000236959
54,1792.43,1.06303,0.81844,1.34044,0.73113,0.64995,0.7048,0.41908,1.50238,1.14578,1.79868,0.000229208,0.000229208,0.000229208
55,1825.37,1.05283,0.79903,1.33245,0.7007,0.6686,0.71472,0.42776,1.50802,1.14922,1.81685,0.00022148,0.00022148,0.00022148
56,1858.37,1.03773,0.79643,1.33208,0.74263,0.65665,0.71368,0.42857,1.49566,1.13619,1.79087,0.000213782,0.000213782,0.000213782
57,1891.38,1.03708,0.79017,1.32733,0.77391,0.62621,0.70665,0.41774,1.51637,1.1558,1.82908,0.000206123,0.000206123,0.000206123
58,1924.38,1.0168,0.76836,1.30315,0.74415,0.62922,0.70419,0.42078,1.51507,1.18273,1.84113,0.00019851,0.00019851,0.00019851
59,1957.33,1.0103,0.7419,1.30633,0.72647,0.65674,0.70555,0.41717,1.53142,1.14643,1.85748,0.000190949,0.000190949,0.000190949
60,1990.3,0.99723,0.74356,1.29889,0.74192,0.65994,0.71096,0.42679,1.51297,1.14499,1.84118,0.00018345,0.00018345,0.00018345
61,2023.26,1.00524,0.75035,1.32028,0.71698,0.67445,0.71465,0.43128,1.51585,1.13507,1.84729,0.000176018,0.000176018,0.000176018
62,2056.22,0.98292,0.7236,1.29164,0.71322,0.65768,0.69573,0.41252,1.52909,1.19267,1.87366,0.000168662,0.000168662,0.000168662
63,2089.18,0.9848,0.72745,1.28997,0.74873,0.64304,0.70198,0.41294,1.53259,1.16687,1.86067,0.000161389,0.000161389,0.000161389
64,2122.17,0.96302,0.71258,1.28052,0.73008,0.67008,0.71049,0.42441,1.50527,1.16143,1.85367,0.000154206,0.000154206,0.000154206
65,2155.13,0.94976,0.69851,1.27376,0.73855,0.67112,0.71405,0.42662,1.50889,1.10938,1.83949,0.00014712,0.00014712,0.00014712
66,2188.15,0.95578,0.68419,1.27161,0.74379,0.65549,0.71132,0.42425,1.5277,1.16943,1.86297,0.000140137,0.000140137,0.000140137
67,2221.09,0.93572,0.68305,1.26143,0.71672,0.67162,0.70868,0.42314,1.51453,1.16528,1.86032,0.000133266,0.000133266,0.000133266
68,2254.03,0.94666,0.69001,1.26672,0.76283,0.63723,0.70647,0.42169,1.53485,1.14577,1.88189,0.000126512,0.000126512,0.000126512
69,2287.04,0.91701,0.67091,1.25722,0.72694,0.67488,0.71245,0.42847,1.53198,1.15322,1.88769,0.000119883,0.000119883,0.000119883
70,2320.04,0.91608,0.6631,1.24872,0.72818,0.65416,0.70988,0.42716,1.53019,1.16467,1.88619,0.000113384,0.000113384,0.000113384
71,2353.02,0.89996,0.65691,1.23679,0.73582,0.65766,0.71079,0.42812,1.53602,1.14203,1.89359,0.000107023,0.000107023,0.000107023
72,2386.22,0.89679,0.64852,1.23321,0.74305,0.65482,0.70782,0.4193,1.5505,1.14333,1.93276,0.000100806,0.000100806,0.000100806
73,2419.28,0.89122,0.64524,1.22106,0.72342,0.66657,0.7079,0.42421,1.5445,1.15718,1.92254,9.47376e-05,9.47376e-05,9.47376e-05
74,2452.38,0.90926,0.64918,1.24318,0.71889,0.66154,0.70239,0.42057,1.54497,1.1503,1.93166,8.88253e-05,8.88253e-05,8.88253e-05
75,2485.47,0.88721,0.61719,1.22155,0.74755,0.64855,0.70299,0.41902,1.56182,1.16566,1.93894,8.30746e-05,8.30746e-05,8.30746e-05
76,2518.4,0.86875,0.61538,1.21043,0.73078,0.67025,0.70601,0.42565,1.54516,1.15654,1.95174,7.74911e-05,7.74911e-05,7.74911e-05
77,2551.51,0.86544,0.60117,1.21439,0.7178,0.67421,0.70758,0.42517,1.55358,1.15627,1.95099,7.20803e-05,7.20803e-05,7.20803e-05
78,2584.61,0.85928,0.59965,1.21268,0.76322,0.63155,0.70331,0.41982,1.56062,1.16152,1.95875,6.68475e-05,6.68475e-05,6.68475e-05
79,2617.74,0.84636,0.60013,1.20374,0.70582,0.66773,0.70501,0.4274,1.54741,1.17367,1.95573,6.1798e-05,6.1798e-05,6.1798e-05
80,2650.63,0.83153,0.58741,1.20073,0.7168,0.67686,0.70517,0.42726,1.54931,1.18137,1.954,5.69366e-05,5.69366e-05,5.69366e-05
81,2683.78,0.84706,0.60414,1.19966,0.7604,0.64024,0.70456,0.42252,1.5668,1.17053,1.96924,5.22683e-05,5.22683e-05,5.22683e-05
82,2716.79,0.83617,0.58842,1.19933,0.74988,0.64394,0.70433,0.42145,1.56917,1.17797,1.98655,4.77976e-05,4.77976e-05,4.77976e-05
83,2749.89,0.81314,0.5684,1.18094,0.71527,0.67755,0.69848,0.41853,1.56848,1.16298,1.99302,4.35288e-05,4.35288e-05,4.35288e-05
84,2782.91,0.81879,0.56793,1.18486,0.72628,0.66872,0.70131,0.41764,1.5662,1.15911,1.98956,3.94663e-05,3.94663e-05,3.94663e-05
85,2816.08,0.81408,0.57156,1.18103,0.7282,0.65866,0.70119,0.4218,1.57657,1.15994,2.0142,3.56141e-05,3.56141e-05,3.56141e-05
86,2849.12,0.81919,0.5587,1.18846,0.73736,0.66262,0.70532,0.42428,1.57839,1.16654,2.01239,3.19759e-05,3.19759e-05,3.19759e-05
