epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3558,6.85401,2.73792,7.49138,0.16535,0.41546,0.19618,0.08999,7.77363,7.20124,9.72016,0.0672877,0.000164384,0.000164384
2,76.4957,6.87641,2.23984,7.39334,0.29087,0.26359,0.22309,0.09953,7.49944,11.4051,9.40055,0.0341209,0.000330969,0.000330969
3,111.925,6.78242,2.16765,7.347,0.17694,0.33468,0.13611,0.05533,7.98715,14.7712,9.84426,0.000953852,0.000497231,0.000497231
4,147.428,6.7037,2.11606,7.27285,0.3223,0.30976,0.25697,0.1161,7.7424,5.91307,9.50395,0.000498902,0.000498902,0.000498902
5,181.503,6.62745,2.08521,7.23729,0.41261,0.36136,0.30538,0.14728,7.63147,2.99309,8.82156,0.000498048,0.000498048,0.000498048
6,215.034,6.48408,1.97793,7.08449,0.48149,0.45334,0.43033,0.20907,7.18961,2.25439,8.32774,0.000496953,0.000496953,0.000496953
7,248.797,6.38307,1.93642,6.99092,0.47402,0.4359,0.40597,0.20166,7.16786,2.16389,8.64101,0.000495616,0.000495616,0.000495616
8,282.115,6.27677,1.86572,6.91347,0.60008,0.49284,0.50059,0.26458,6.47495,1.89989,7.56439,0.000494039,0.000494039,0.000494039
9,315.336,6.15833,1.82165,6.86746,0.43228,0.36467,0.34541,0.18191,7.19583,2.38124,8.56455,0.000492224,0.000492224,0.000492224
10,348.693,6.13779,1.76937,6.87478,0.59746,0.50671,0.52606,0.27791,6.38052,1.76311,7.52955,0.000490173,0.000490173,0.000490173
11,382.137,6.09828,1.79572,6.7749,0.58489,0.52845,0.54389,0.30096,6.32706,1.73215,7.4311,0.000487886,0.000487886,0.000487886
12,415.81,6.03282,1.73225,6.74829,0.59706,0.5476,0.55827,0.30431,6.25024,1.71851,7.42692,0.000485368,0.000485368,0.000485368
13,449.857,6.00672,1.68068,6.68312,0.55876,0.49321,0.49791,0.26058,6.70589,1.90704,7.85353,0.00048262,0.00048262,0.00048262
14,483.857,5.9219,1.66759,6.61435,0.58878,0.55317,0.55477,0.30162,6.46193,1.75906,7.54084,0.000479644,0.000479644,0.000479644
15,517.491,5.82466,1.63727,6.55688,0.6159,0.54265,0.57027,0.31787,6.3181,1.67089,7.4331,0.000476445,0.000476445,0.000476445
16,551.032,5.77503,1.6243,6.49674,0.64628,0.53539,0.58911,0.3346,6.17923,1.57215,7.24706,0.000473024,0.000473024,0.000473024
17,584.983,5.73207,1.5708,6.48081,0.62761,0.54484,0.59086,0.33131,6.08168,1.61764,7.25318,0.000469386,0.000469386,0.000469386
18,619.502,5.72757,1.59377,6.4681,0.59318,0.55753,0.56606,0.3188,6.22147,1.69487,7.33403,0.000465534,0.000465534,0.000465534
19,655.109,5.71483,1.55872,6.46961,0.57201,0.54479,0.53131,0.28452,6.33011,1.72197,7.35825,0.000461471,0.000461471,0.000461471
20,691.405,5.62345,1.53007,6.44711,0.65232,0.55629,0.59228,0.33496,6.14194,1.5609,7.23071,0.000457202,0.000457202,0.000457202
21,728.181,5.5698,1.49625,6.36072,0.60753,0.59661,0.61829,0.34994,6.17895,1.47633,7.33068,0.000452732,0.000452732,0.000452732
22,762.291,5.58057,1.49169,6.39619,0.63561,0.59057,0.62202,0.35146,6.08739,1.5258,7.1827,0.000448063,0.000448063,0.000448063
23,796.061,5.45154,1.47069,6.28508,0.66118,0.55618,0.61595,0.33957,6.06952,1.56536,7.10635,0.000443202,0.000443202,0.000443202
24,830.104,5.47497,1.45924,6.26463,0.65906,0.58638,0.63613,0.36475,5.98373,1.45481,7.12091,0.000438152,0.000438152,0.000438152
25,863.757,5.48809,1.44026,6.29114,0.62194,0.61083,0.62137,0.35438,6.08853,1.57576,7.25202,0.00043292,0.00043292,0.00043292
26,899.471,5.44274,1.42808,6.25272,0.69823,0.57508,0.64049,0.3751,5.83734,1.42293,6.91703,0.000427509,0.000427509,0.000427509
27,933.14,5.30452,1.37988,6.18938,0.66845,0.60597,0.64485,0.36719,6.0014,1.44516,7.1425,0.000421925,0.000421925,0.000421925
28,966.753,5.3588,1.37424,6.16138,0.62932,0.57422,0.59952,0.33421,6.09392,1.51243,7.13752,0.000416175,0.000416175,0.000416175
29,1000.24,5.3525,1.3691,6.14102,0.67534,0.58713,0.62953,0.36702,6.03041,1.41246,7.09338,0.000410262,0.000410262,0.000410262
30,1033.95,5.2724,1.34994,6.12175,0.69038,0.60926,0.65398,0.38373,5.81521,1.35371,6.94659,0.000404194,0.000404194,0.000404194
