epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8002,1.68003,2.48551,1.8195,0.24292,0.28279,0.18798,0.08279,1.99696,12.242,2.44392,0.0672877,0.000164384,0.000164384
2,76.3325,1.68014,2.03212,1.81752,0.27544,0.3388,0.24306,0.11114,1.88039,3.92195,2.31706,0.0341209,0.000330969,0.000330969
3,109.336,1.643,1.92321,1.79092,0.38351,0.38015,0.30079,0.13621,1.98828,4.11436,2.40406,0.000953852,0.000497231,0.000497231
4,143.845,1.65796,1.91617,1.79069,0.41643,0.37734,0.34094,0.15707,1.97116,5.72148,2.33737,0.000498902,0.000498902,0.000498902
5,178.173,1.61985,1.82475,1.77334,0.45495,0.44095,0.39791,0.20254,1.81477,2.31367,2.1497,0.000498048,0.000498048,0.000498048
6,213.228,1.59332,1.75092,1.74785,0.57902,0.48809,0.50023,0.26218,1.73461,2.32367,2.02575,0.000496953,0.000496953,0.000496953
7,246.339,1.56212,1.70721,1.71337,0.58787,0.51852,0.53331,0.27458,1.70947,1.90699,2.00445,0.000495616,0.000495616,0.000495616
8,278.967,1.53541,1.6419,1.69615,0.5959,0.53192,0.54691,0.28912,1.67775,1.68322,1.96133,0.000494039,0.000494039,0.000494039
9,311.611,1.52163,1.61975,1.68412,0.61901,0.55781,0.5705,0.30554,1.6444,1.87136,1.91609,0.000492224,0.000492224,0.000492224
10,344.19,1.50367,1.55458,1.68976,0.62279,0.55328,0.57007,0.29892,1.64755,1.62593,1.91,0.000490173,0.000490173,0.000490173
11,378.402,1.49,1.52393,1.65405,0.63614,0.55665,0.59701,0.33501,1.57928,1.61075,1.83798,0.000487886,0.000487886,0.000487886
12,411.084,1.47642,1.5015,1.64681,0.63727,0.58986,0.61471,0.33411,1.59677,1.52,1.8482,0.000485368,0.000485368,0.000485368
13,443.853,1.4617,1.44716,1.64105,0.64915,0.57054,0.62366,0.34374,1.5876,1.50984,1.84943,0.00048262,0.00048262,0.00048262
14,476.727,1.44579,1.41784,1.62589,0.62673,0.58231,0.6103,0.33837,1.54376,1.74198,1.80525,0.000479644,0.000479644,0.000479644
