_runtime,train_batch2,PR_curve,val/dfl_loss,curves/F1-Confidence(B)_table,P_curve,_step,results,lr/pg0,val_batch0_pred,labels,_timestamp,val_batch0_labels,R_curve,train/cls_loss,model/speed_PyTorch(ms),train_batch0,F1_curve,confusion_matrix_normalized,lr/pg1,val_batch2_pred,val_batch2_labels,val/box_loss,model/parameters,train/box_loss,curves/Precision-Confidence(B)_table,model/GFLOPs,metrics/precision(B),val/cls_loss,val_batch1_pred,curves/Precision-Recall(B)_table,train_batch1,metrics/mAP50(B),train/dfl_loss,lr/pg2,curves/Recall-Confidence(B)_table,val_batch1_labels,confusion_matrix,metrics/recall(B),metrics/mAP50-95(B),variant,seed,run_name,epoch
633.100029417,,,2.07529,,,17,,0.00046938590331085624,,,1779987923.4825263,,,1.41418,,,,,0.00046938590331085624,,,1.59377,,1.49563,,,0.65684,1.46504,,,,0.63872,1.84752,0.00046938590331085624,,,,0.60755,0.35334,cbam,42,cbam_seed42,17
667.304967489,,,2.11484,,,18,,0.0004655336516834761,,,1779987957.6751199,,,1.41055,,,,,0.0004655336516834761,,,1.65572,,1.49771,,,0.67738,1.50868,,,,0.64138,1.83642,0.0004655336516834761,,,,0.57665,0.34919,cbam,42,cbam_seed42,18
701.58250235,,,2.11348,,,19,,0.0004614711615617487,,,1779987991.8896067,,,1.38223,,,,,0.0004614711615617487,,,1.62396,,1.47364,,,0.6337,1.54761,,,,0.60267,1.8223,0.0004614711615617487,,,,0.58364,0.32465,cbam,42,cbam_seed42,19
737.397850712,,,2.04305,,,20,,0.00045720244213295403,,,1779988026.1805182,,,1.3632,,,,,0.00045720244213295403,,,1.58612,,1.45854,,,0.65919,1.42247,,,,0.6515,1.81907,0.00045720244213295403,,,,0.61905,0.36637,cbam,42,cbam_seed42,20
773.153422732,,,2.02086,,,21,,0.0004527317061077995,,,1779988063.5449424,,,1.31925,,,,,0.0004527317061077995,,,1.56697,,1.45421,,,0.69671,1.37989,,,,0.66246,1.80571,0.0004527317061077995,,,,0.60941,0.37081,cbam,42,cbam_seed42,21
807.364922444,,,2.08088,,,22,,0.0004480633655629834,,,1779988097.6733682,,,1.32582,,,,,0.0004480633655629834,,,1.60703,,1.45092,,,0.66079,1.64878,,,,0.61376,1.80723,0.0004480633655629834,,,,0.5861,0.34061,cbam,42,cbam_seed42,22
843.713706881,,,2.03616,,,23,,0.00044320202758700784,,,1779988133.4740336,,,1.31624,,,,,0.00044320202758700784,,,1.58255,,1.41441,,,0.66855,1.37949,,,,0.66203,1.78105,0.00044320202758700784,,,,0.63896,0.37114,cbam,42,cbam_seed42,23
877.981085639,,,2.05644,,,24,,0.0004381524897335388,,,1779988168.298347,,,1.26921,,,,,0.0004381524897335388,,,1.5713,,1.40908,,,0.68012,1.38061,,,,0.6689,1.76761,0.0004381524897335388,,,,0.62103,0.37115,cbam,42,cbam_seed42,24
912.139902229,,,2.02864,,,25,,0.0004329197352867994,,,1779988202.5494068,,,1.27026,,,,,0.0004329197352867994,,,1.56181,,1.40362,,,0.65494,1.37815,,,,0.66882,1.76817,0.0004329197352867994,,,,0.6368,0.37611,cbam,42,cbam_seed42,25
946.403619211,,,2.044,,,26,,0.0004275089283436705,,,1779988236.74544,,,1.24436,,,,,0.0004275089283436705,,,1.53874,,1.39998,,,0.71643,1.30609,,,,0.67385,1.76522,0.0004275089283436705,,,,0.60862,0.38876,cbam,42,cbam_seed42,26
980.60573607,,,2.0248,,,27,,0.0004219254087173504,,,1779988270.950614,,,1.20348,,,,,0.0004219254087173504,,,1.55236,,1.37246,,,0.68931,1.27576,,,,0.6906,1.75272,0.0004219254087173504,,,,0.64215,0.39968,cbam,42,cbam_seed42,27
1014.933928962,,,2.03463,,,28,,0.0004161746866676038,,,1779988305.2135537,,,1.20083,,,,,0.0004161746866676038,,,1.54574,,1.37326,,,0.71427,1.32829,,,,0.69536,1.73037,0.0004161746866676038,,,,0.64328,0.39989,cbam,42,cbam_seed42,28
1049.587610078,,,2.00294,,,29,,0.00041026243746280074,,,1779988339.5084212,,,1.19853,,,,,0.00041026243746280074,,,1.53404,,1.35774,,,0.67505,1.3344,,,,0.66417,1.72564,0.00041026243746280074,,,,0.62123,0.38847,cbam,42,cbam_seed42,29
1084.280549735,,,2.05098,,,30,,0.0004041944957791117,,,1779988374.1329672,,,1.17784,,,,,0.0004041944957791117,,,1.55942,,1.35822,,,0.6937,1.35067,,,,0.66327,1.72653,0.0004041944957791117,,,,0.61595,0.37958,cbam,42,cbam_seed42,30
1119.284551353,,,2.02436,,,31,,0.00039797684994238717,,,1779988409.0432172,,,1.15277,,,,,0.00039797684994238717,,,1.55482,,1.35033,,,0.69446,1.24478,,,,0.69104,1.71374,0.00039797684994238717,,,,0.65175,0.39271,cbam,42,cbam_seed42,31
1154.347384212,,,2.01543,,,32,,0.00039161563601840233,,,1779988444.142643,,,1.14,,,,,0.00039161563601840233,,,1.51739,,1.32104,,,0.6829,1.38015,,,,0.67375,1.69799,0.00039161563601840233,,,,0.65641,0.38236,cbam,42,cbam_seed42,32
1189.16168805,,,2.02825,,,33,,0.00038511713175730166,,,1779988479.147163,,,1.13027,,,,,0.00038511713175730166,,,1.54494,,1.32198,,,0.73006,1.31964,,,,0.68568,1.69461,0.00038511713175730166,,,,0.6269,0.39726,cbam,42,cbam_seed42,33
1223.669024104,,,2.08604,,,34,,0.00037848775039821687,,,1779988513.6850727,,,1.11524,,,,,0.00037848775039821687,,,1.58923,,1.31911,,,0.70985,1.34691,,,,0.64906,1.68392,0.00037848775039821687,,,,0.60515,0.36372,cbam,42,cbam_seed42,34
1258.037564793,,,2.00285,,,35,,0.0003717340343401745,,,1779988548.2384307,,,1.09027,,,,,0.0003717340343401745,,,1.53787,,1.30253,,,0.73629,1.2387,,,,0.70603,1.67387,0.0003717340343401745,,,,0.64154,0.40868,cbam,42,cbam_seed42,35
1292.336786303,,,2.07124,,,36,,0.0003648626486855379,,,1779988582.5300028,,,1.0855,,,,,0.0003648626486855379,,,1.57124,,1.29691,,,0.70958,1.28078,,,,0.68258,1.67149,0.0003648626486855379,,,,0.63386,0.38778,cbam,42,cbam_seed42,36
1326.711776259,,,2.03165,,,37,,0.00035788037466235543,,,1779988616.81871,,,1.06408,,,,,0.00035788037466235543,,,1.55428,,1.27473,,,0.72928,1.25338,,,,0.69116,1.65834,0.00035788037466235543,,,,0.62918,0.40134,cbam,42,cbam_seed42,37
1360.946428722,,,2.07206,,,38,,0.0003507941029321082,,,1779988651.201459,,,1.03987,,,,,0.0003507941029321082,,,1.55159,,1.25423,,,0.70207,1.23859,,,,0.67891,1.63799,0.0003507941029321082,,,,0.63791,0.39228,cbam,42,cbam_seed42,38
1395.227979022,,,2.04039,,,39,,0.00034361082678945786,,,1779988685.415614,,,1.03486,,,,,0.00034361082678945786,,,1.57365,,1.25802,,,0.70517,1.25517,,,,0.69205,1.62831,0.00034361082678945786,,,,0.63459,0.39815,cbam,42,cbam_seed42,39
1433.806984714,,,2.07691,,,40,,0.0003363376352607096,,,1779988719.7431312,,,1.02836,,,,,0.0003363376352607096,,,1.57882,,1.24484,,,0.70389,1.22732,,,,0.69258,1.62921,0.0003363376352607096,,,,0.65518,0.39499,cbam,42,cbam_seed42,40
1469.103998868,,,2.06473,,,41,,0.00032898170610779956,,,1779988759.3553498,,,1.00605,,,,,0.00032898170610779956,,,1.54298,,1.24082,,,0.70309,1.25479,,,,0.69629,1.61486,0.00032898170610779956,,,,0.659,0.39852,cbam,42,cbam_seed42,41
1503.247798143,,,2.03877,,,42,,0.0003215502987447093,,,1779988793.578867,,,0.98864,,,,,0.0003215502987447093,,,1.53695,,1.21902,,,0.72931,1.21781,,,,0.69824,1.60904,0.0003215502987447093,,,,0.64692,0.40793,cbam,42,cbam_seed42,42
1537.452032428,,,2.04214,,,43,,0.00031405074707330157,,,1779988827.7847805,,,0.97997,,,,,0.00031405074707330157,,,1.54224,,1.20701,,,0.71483,1.19365,,,,0.70286,1.6,0.00031405074707330157,,,,0.65885,0.41297,cbam,42,cbam_seed42,43
