labels,confusion_matrix_normalized,curves/Precision-Recall(B)_table,train/dfl_loss,metrics/mAP50-95(B),train_batch0,train_batch6571,confusion_matrix,PR_curve,lr/pg1,metrics/recall(B),model/speed_PyTorch(ms),curves/Precision-Confidence(B)_table,curves/Recall-Confidence(B)_table,P_curve,train_batch6572,val_batch0_pred,val/dfl_loss,lr/pg0,results,train_batch6570,_step,train/cls_loss,train/box_loss,metrics/mAP50(B),val_batch2_labels,lr/pg2,val_batch1_pred,train_batch1,val_batch0_labels,val/cls_loss,val/box_loss,_runtime,R_curve,model/parameters,model/GFLOPs,F1_curve,train_batch2,val_batch2_pred,metrics/precision(B),val_batch1_labels,curves/F1-Confidence(B)_table,_timestamp,variant,seed,run_name,epoch
,,,2.03996,0.34484,,,,,0.00046938590331085624,0.60728,,,,,,,2.21174,0.00046938590331085624,,,17,1.53878,1.47745,0.62569,,0.00046938590331085624,,,,1.57101,1.53731,885.556912213,,,,,,,0.64805,,,1780000507.5618057,p2,1337,p2_seed1337,17
,,,2.04258,0.34995,,,,,0.0004655336516834761,0.57595,,,,,,,2.22467,0.0004655336516834761,,,18,1.55579,1.49019,0.6219,,0.0004655336516834761,,,,1.72736,1.56938,933.989524332,,,,,,,0.65707,,,1780000556.086775,p2,1337,p2_seed1337,18
,,,2.02067,0.30848,,,,,0.0004614711615617487,0.54229,,,,,,,2.30184,0.0004614711615617487,,,19,1.50444,1.47019,0.58077,,0.0004614711615617487,,,,1.64099,1.61848,981.512319575,,,,,,,0.63718,,,1780000603.4780793,p2,1337,p2_seed1337,19
,,,2.00901,0.32781,,,,,0.00045720244213295403,0.56945,,,,,,,2.25155,0.00045720244213295403,,,20,1.47702,1.45529,0.59681,,0.00045720244213295403,,,,1.61144,1.57496,1031.428029109,,,,,,,0.6108,,,1780000651.0206075,p2,1337,p2_seed1337,20
,,,1.99184,0.36891,,,,,0.0004527317061077995,0.57794,,,,,,,2.24876,0.0004527317061077995,,,21,1.43051,1.43719,0.66453,,0.0004527317061077995,,,,1.45801,1.59256,1078.709556746,,,,,,,0.71221,,,1780000700.8279295,p2,1337,p2_seed1337,21
,,,1.99864,0.35791,,,,,0.0004480633655629834,0.60352,,,,,,,2.22209,0.0004480633655629834,,,22,1.44334,1.43568,0.63402,,0.0004480633655629834,,,,1.54115,1.5724,1126.15803689,,,,,,,0.64767,,,1780000748.1631293,p2,1337,p2_seed1337,22
,,,1.95973,0.36055,,,,,0.00044320202758700784,0.60194,,,,,,,2.18845,0.00044320202758700784,,,23,1.40814,1.39364,0.64755,,0.00044320202758700784,,,,1.50403,1.54443,1175.661201265,,,,,,,0.67145,,,1780000797.3815904,p2,1337,p2_seed1337,23
,,,1.96381,0.35961,,,,,0.0004381524897335388,0.5966,,,,,,,2.23216,0.0004381524897335388,,,24,1.36012,1.39959,0.64876,,0.0004381524897335388,,,,1.46465,1.57534,1223.126334723,,,,,,,0.67333,,,1780000845.1230621,p2,1337,p2_seed1337,24
,,,1.96358,0.38151,,,,,0.0004329197352867994,0.59315,,,,,,,2.19427,0.0004329197352867994,,,25,1.37705,1.40021,0.66724,,0.0004329197352867994,,,,1.4472,1.53478,1270.430429506,,,,,,,0.71071,,,1780000892.6276104,p2,1337,p2_seed1337,25
,,,1.95244,0.37326,,,,,0.0004275089283436705,0.59422,,,,,,,2.2406,0.0004275089283436705,,,26,1.33087,1.39232,0.65806,,0.0004275089283436705,,,,1.4216,1.57561,1317.826944654,,,,,,,0.72209,,,1780000939.7805548,p2,1337,p2_seed1337,26
,,,1.93356,0.38938,,,,,0.0004219254087173504,0.64398,,,,,,,2.1996,0.0004219254087173504,,,27,1.29366,1.36231,0.67671,,0.0004219254087173504,,,,1.40124,1.54381,1365.732329399,,,,,,,0.68191,,,1780000987.9346035,p2,1337,p2_seed1337,27
,,,1.92611,0.384,,,,,0.0004161746866676038,0.61327,,,,,,,2.21838,0.0004161746866676038,,,28,1.28266,1.37308,0.67131,,0.0004161746866676038,,,,1.4053,1.5677,1412.799649933,,,,,,,0.68609,,,1780001035.0935159,p2,1337,p2_seed1337,28
