labels,confusion_matrix_normalized,curves/Precision-Recall(B)_table,train/dfl_loss,metrics/mAP50-95(B),train_batch0,train_batch6571,confusion_matrix,PR_curve,lr/pg1,metrics/recall(B),model/speed_PyTorch(ms),curves/Precision-Confidence(B)_table,curves/Recall-Confidence(B)_table,P_curve,train_batch6572,val_batch0_pred,val/dfl_loss,lr/pg0,results,train_batch6570,_step,train/cls_loss,train/box_loss,metrics/mAP50(B),val_batch2_labels,lr/pg2,val_batch1_pred,train_batch1,val_batch0_labels,val/cls_loss,val/box_loss,_runtime,R_curve,model/parameters,model/GFLOPs,F1_curve,train_batch2,val_batch2_pred,metrics/precision(B),val_batch1_labels,curves/F1-Confidence(B)_table,_timestamp,variant,seed,run_name,epoch
,,,1.40252,0.41469,,,,,4.3528838438251336e-05,0.66508,,,,,,,2.50207,4.3528838438251336e-05,,,83,0.60332,0.79644,0.696,,4.3528838438251336e-05,,,,1.22816,1.59964,4032.335488876,,,,,,,0.72087,,,1780003654.5996583,p2,1337,p2_seed1337,83
,,,1.41568,0.41868,,,,,3.946634831652396e-05,0.6613,,,,,,,2.52055,3.946634831652396e-05,,,84,0.60587,0.80578,0.70248,,3.946634831652396e-05,,,,1.21807,1.59717,4081.057425863,,,,,,,0.73501,,,1780003701.6800573,p2,1337,p2_seed1337,84
,,,1.40905,0.41575,,,,,3.561409668914378e-05,0.68231,,,,,,,2.50737,3.561409668914378e-05,,,85,0.61271,0.79585,0.70007,,3.561409668914378e-05,,,,1.22246,1.60017,4128.687992251,,,,,,,0.70201,,,1780003750.376614,p2,1337,p2_seed1337,85
,,,1.4047,0.41897,,,,,3.1975885263378965e-05,0.69001,,,,,,,2.5378,3.1975885263378965e-05,,,86,0.59634,0.7935,0.70294,,3.1975885263378965e-05,,,,1.2239,1.60318,4179.063949076,,,,,,,0.69241,,,1780003799.5716274,p2,1337,p2_seed1337,86
,,,1.39448,0.40967,,,,,2.855530451466021e-05,0.67523,,,,,,,2.52419,2.855530451466021e-05,,,87,0.60357,0.78956,0.69101,,2.855530451466021e-05,,,,1.2287,1.60313,4226.336645584,,,,,,,0.71317,,,1780003848.4542074,p2,1337,p2_seed1337,87
,,,1.38679,0.41473,,,,,2.5355730143214685e-05,0.6651,,,,,,,2.53072,2.5355730143214685e-05,,,88,0.58669,0.77393,0.6955,,2.5355730143214685e-05,,,,1.22193,1.59675,4273.719031131,,,,,,,0.7328,,,1780003895.6706178,p2,1337,p2_seed1337,88
,,,1.37821,0.41408,,,,,2.2380319742657805e-05,0.66754,,,,,,,2.52979,2.2380319742657805e-05,,,89,0.58303,0.76928,0.697,,2.2380319742657805e-05,,,,1.23156,1.60564,4321.213030944,,,,,,,0.72307,,,1780003943.1040115,p2,1337,p2_seed1337,89
,,,1.40008,0.41569,,,,,1.9632009683829166e-05,0.65945,,,,,,,2.54533,1.9632009683829166e-05,,,90,0.58785,0.78383,0.69393,,1.9632009683829166e-05,,,,1.23548,1.60601,4370.866805588,,,,,,,0.72396,,,1780003990.467819,p2,1337,p2_seed1337,90
,,,1.3605,0.41153,,"{'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch6571_91_9829c11e64e6d383bd2b.jpg', 'sha256': '9829c11e64e6d383bd2bd34de9c5e3410cf1efde13127075c52ca88d5a71d59f', 'size': 627123}",,,1.7113512216949455e-05,0.66196,,,,,"{'size': 591105, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch6572_91_afcb365527ab32114917.jpg', 'sha256': 'afcb365527ab32114917c17779dd8bd9b8488cf7c77a3a1380fa1e368ec3ad7a'}",,2.62328,1.7113512216949455e-05,,"{'format': 'jpg', 'path': 'media/images/train_batch6570_91_a51c62a5ba5a4742c4af.jpg', 'sha256': 'a51c62a5ba5a4742c4aff42e65c48244e5a9b68b4b49920bf051b6aa12db9a08', 'size': 654976, 'height': 1920, 'width': 1920, '_type': 'image-file'}",91,0.52001,0.74304,0.68863,,1.7113512216949455e-05,,,,1.24719,1.62547,4418.033602711,,,,,,,0.70517,,,1780004040.2379196,p2,1337,p2_seed1337,91
,,,1.32707,0.40739,,,,,1.4827312794956637e-05,0.65608,,,,,,,2.61112,1.4827312794956637e-05,,,92,0.47986,0.70563,0.68547,,1.4827312794956637e-05,,,,1.24201,1.61606,4464.96145452,,,,,,,0.71588,,,1780004087.329321,p2,1337,p2_seed1337,92
,,,1.32289,0.40975,,,,,1.2775667620663789e-05,0.6608,,,,,,,2.60714,1.2775667620663789e-05,,,93,0.4661,0.70456,0.69043,,1.2775667620663789e-05,,,,1.24239,1.6121,4512.772907505,,,,,,,0.72008,,,1780004135.0648966,p2,1337,p2_seed1337,93
,"{'format': 'png', 'path': 'media/images/confusion_matrix_normalized_94_e75e3f649f01994854c9.png', 'sha256': 'e75e3f649f01994854c97d812c0f723d87eeba609193f9908bfa372240f2b015', 'size': 112317, 'height': 2250, 'width': 3000, '_type': 'image-file'}","{'ncols': 3, 'path': 'media/table/curves/Precision-Recall(B)_table_94_dfa6951c55b0058c9140.table.json', 'sha256': 'dfa6951c55b0058c9140458c18b1cfd5d5b00625a2d5fd86c01c959ee36050c4', 'artifact_path': 'wandb-client-artifact://k0dhi2c2hqub19aokasnlum5uu9i1gn76lnotcjlz1kms8mkqjjm003ssy1km4z6apro94vhcbggph6gv79yldi1mx11vmovz2xt51rndkklwk0v69wd846i158kioil/curves/Precision-Recall(B)_table.table.json', 'nrows': 400, 'size': 7916, '_latest_artifact_path': 'wandb-client-artifact://nnv4k3mdtze0dqvt8g9vz1p1tc5c8lwdi3r0qnils3s6jlj2lst2kg0o26ggvrct3656tx6mbnw7h32c9ynjvwrzk7p50ej9ufs843qwb19vz9rc9x09m4igotkazxbk:latest/curves/Precision-Recall(B)_table.table.json', 'log_mode': 'IMMUTABLE', '_type': 'table-file'}",1.30852,0.42901429824568654,,,"{'path': 'media/images/confusion_matrix_94_2797df7380bf8959a012.png', 'sha256': '2797df7380bf8959a012dcc3c41a6818793d4bfb889a68a71678e39ff94c239a', 'size': 101377, 'height': 2250, 'width': 3000, '_type': 'image-file', 'format': 'png'}","{'width': 2250, '_type': 'image-file', 'format': 'png', 'path': 'media/images/PR_curve_94_7e1b74772cd9e149d7b3.png', 'sha256': '7e1b74772cd9e149d7b36876ff978de51e2b0675c36cecbf611e2e8ee6877b56', 'size': 169276, 'height': 1500}",1.0960601420160032e-05,0.6549503635801864,,"{'_latest_artifact_path': 'wandb-client-artifact://scd2899ssx1apkphqanx8upvnxzhc5y5hgqbeora2o9zh0rke9f99m3woroq2of2psra5tkspuddvyesx20wz4kptibsswpr8j8soswpl9fzazclsraj3ekn0yvjwych:latest/curves/Precision-Confidence(B)_table.table.json', '_type': 'table-file', 'sha256': 'bc8d8b6e85d451ff0c73f6587a2bf975b68400920355a387d0eb388bebd11744', 'size': 7902, 'nrows': 400, 'ncols': 3, 'path': 'media/table/curves/Precision-Confidence(B)_table_94_bc8d8b6e85d451ff0c73.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://4xznven9rvks5nts9mtqqsbtrbcmkv2nykqd1zvlc3t4823anu9nt321fqnhbbtdao4xsq3lqa4180whfd5fnya30cnek5k9o55m0gp0yseydhp1tkwayo6f7zewxl9u/curves/Precision-Confidence(B)_table.table.json'}","{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://eyop5demknjxkkn7fynr9fho4ncm5ci0h786ezslhqsreq4t2xsalz64psbu0bs8dx6r3gy633cp8vdh594dfmfde4q1bx3sl35zdaufiefv601ge1y3gocoxxzakvy8:latest/curves/Recall-Confidence(B)_table.table.json', 'path': 'media/table/curves/Recall-Confidence(B)_table_94_ead147072494f3358118.table.json', '_type': 'table-file', 'ncols': 3, 'sha256': 'ead147072494f3358118bc71a07074eb56a07ff51ba168f2a4b2465058de8a4d', 'artifact_path': 'wandb-client-artifact://rnippi6lubzsuox97j28p059pmlaktzs4uc3dp6q01efnpwuq3emzapfhhy6oah05dxfttx79wl2kwt3azjd2wf72e405v0hgxdj2vrt3txomoy7wd6odcwxrnt0o77g/curves/Recall-Confidence(B)_table.table.json', 'size': 7921, 'nrows': 400}","{'_type': 'image-file', 'format': 'png', 'path': 'media/images/P_curve_94_19a074c145416147c64a.png', 'sha256': '19a074c145416147c64aab942f584a47aaa1c9540480fee754a39c8a4b048080', 'size': 169360, 'height': 1500, 'width': 2250}",,"{'format': 'jpg', 'path': 'media/images/val_batch0_pred_94_51a978cfd0f66be71a59.jpg', 'sha256': '51a978cfd0f66be71a596930ea383932c8556289c301fdab91670e93087de846', 'size': 848330, 'height': 1920, 'width': 1920, '_type': 'image-file'}",2.60615,1.0960601420160032e-05,"{'format': 'png', 'path': 'media/images/results_94_5e2bf955904d6168fe9e.png', 'sha256': '5e2bf955904d6168fe9edc16e1ea574b584979219506cee1b35a05a627d0b1ce', 'size': 265171, 'height': 1200, 'width': 2400, '_type': 'image-file'}",,94,0.4627,0.68908,0.7121843428258116,"{'size': 941077, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch2_labels_94_ec183fed6f1bd8bce281.jpg', 'sha256': 'ec183fed6f1bd8bce2811c709d1755b5f4673184f1ee545c7fe04d707f5cf85d'}",1.0960601420160032e-05,"{'_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch1_pred_94_998418dde24b96521d7b.jpg', 'sha256': '998418dde24b96521d7bae3e19fc58eeebbc9a874b4a452d525aeb94f6476744', 'size': 890040, 'height': 1920, 'width': 1920}",,"{'format': 'jpg', 'path': 'media/images/val_batch0_labels_94_191276c6f2c0357df44e.jpg', 'sha256': '191276c6f2c0357df44e7eb8ef7d165ea3046b08d018116d8f819c80923a7bf7', 'size': 848160, 'height': 1920, 'width': 1920, '_type': 'image-file'}",1.24341,1.61132,4531.197119707,"{'height': 1500, 'width': 2250, '_type': 'image-file', 'format': 'png', 'path': 'media/images/R_curve_94_0bb35c7055742e68a70d.png', 'sha256': '0bb35c7055742e68a70d037afaf1cb9512daede29f9c29cc9b1afe4c9728ad10', 'size': 163267}",,,"{'format': 'png', 'path': 'media/images/F1_curve_94_2eae73c1b2b6fb8142ac.png', 'sha256': '2eae73c1b2b6fb8142ac0f7f3fd9668fbf1ff3b5a58f4010ddb466815601df37', 'size': 167479, 'height': 1500, 'width': 2250, '_type': 'image-file'}",,"{'_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch2_pred_94_8734a74806d5f61ac4b0.jpg', 'sha256': '8734a74806d5f61ac4b01a0ff2c56c31fa96afbf32b1dbb32cd135f45245a100', 'size': 957490, 'height': 1920, 'width': 1920}",0.7332370647343369,"{'format': 'jpg', 'path': 'media/images/val_batch1_labels_94_a2a2ab952c9f8ac03332.jpg', 'sha256': 'a2a2ab952c9f8ac03332345e661df279322cbe5c7faa2e822a78e6875f6b181f', 'size': 881614, 'height': 1920, 'width': 1920, '_type': 'image-file'}","{'ncols': 3, 'log_mode': 'IMMUTABLE', 'size': 7918, '_type': 'table-file', 'path': 'media/table/curves/F1-Confidence(B)_table_94_dce6f7ccd98fb12a70fe.table.json', 'artifact_path': 'wandb-client-artifact://c9w13bbpxak0rp6ogg3i6q9ck4x19m4z8jhu9hncc26nkb8z2ah2yginc7x0bd3373l6xxy3w6b5ttsby59um1eezqiq7gkjgfy6h1px2szcsclfsnd8k9oxislyzz8w/curves/F1-Confidence(B)_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://bx0opokkc1rslt4lcqnovm5w22go16bzqntwkqyb4tn0wmx2kzd2gvyfo7x4zd8si5w0mimlpn4oucexuulu1e8selcvwmvana8sme53rh9ob6jjcc4n642k166ialnx:latest/curves/F1-Confidence(B)_table.table.json', 'nrows': 400, 'sha256': 'dce6f7ccd98fb12a70fe247ab5cf1cfb1a66d754241ef962ed02b94d503fd5f4'}",1780004194.698937,p2,1337,p2_seed1337,94
