results,curves/Precision-Recall(B)_table,_step,PR_curve,_runtime,train_batch3330,val_batch1_labels,val_batch0_pred,lr/pg2,metrics/recall(B),train/dfl_loss,P_curve,val/box_loss,train_batch0,curves/F1-Confidence(B)_table,val_batch2_labels,train_batch3331,train/box_loss,metrics/mAP50(B),model/GFLOPs,val/dfl_loss,model/speed_PyTorch(ms),lr/pg1,labels,R_curve,model/parameters,curves/Precision-Confidence(B)_table,metrics/mAP50-95(B),train_batch1,F1_curve,val/cls_loss,train_batch3332,metrics/precision(B),curves/Recall-Confidence(B)_table,train_batch2,val_batch0_labels,confusion_matrix_normalized,train/cls_loss,confusion_matrix,val_batch1_pred,lr/pg0,val_batch2_pred,_timestamp,variant,seed,run_name,epoch
,,17,,308.127822993,,,,0.00046938590331085624,0.49576,2.01665,,1.81791,,,,,1.79418,0.49997,,2.17896,,0.00046938590331085624,,,,,0.2525,,,1.91278,,0.56857,,,,,1.99818,,,0.00046938590331085624,,1780036339.2789404,distill,2024,distill_seed2024,17
,,18,,321.783789736,,,,0.0004655336516834761,0.51835,2.01525,,1.80043,,,,,1.77544,0.5326,,2.12915,,0.0004655336516834761,,,,,0.26741,,,1.84063,,0.59702,,,,,1.96396,,,0.0004655336516834761,,1780036352.9300904,distill,2024,distill_seed2024,18
,,19,,338.127464541,,,,0.0004614711615617487,0.50847,1.98332,,1.7539,,,,,1.75616,0.52669,,2.1255,,0.0004614711615617487,,,,,0.27332,,,1.82879,,0.58289,,,,,1.93944,,,0.0004614711615617487,,1780036366.8043458,distill,2024,distill_seed2024,19
,,20,,350.837787299,,,,0.00045720244213295403,0.47076,1.98815,,1.80205,,,,,1.74367,0.49537,,2.14318,,0.00045720244213295403,,,,,0.24147,,,1.95672,,0.57855,,,,,1.9317,,,0.00045720244213295403,,1780036381.832128,distill,2024,distill_seed2024,20
,,21,,363.798859695,,,,0.0004527317061077995,0.48591,1.95017,,1.7857,,,,,1.72663,0.52035,,2.1287,,0.0004527317061077995,,,,,0.25962,,,1.89375,,0.58698,,,,,1.88588,,,0.0004527317061077995,,1780036394.8803756,distill,2024,distill_seed2024,21
,,22,,377.757649486,,,,0.0004480633655629834,0.53671,1.94614,,1.73623,,,,,1.70427,0.53505,,2.06807,,0.0004480633655629834,,,,,0.28241,,,1.90131,,0.55889,,,,,1.87626,,,0.0004480633655629834,,1780036408.9041278,distill,2024,distill_seed2024,22
,,23,,392.256427589,,,,0.00044320202758700784,0.51262,1.93834,,1.76676,,,,,1.69069,0.52275,,2.11413,,0.00044320202758700784,,,,,0.26606,,,2.03113,,0.54714,,,,,1.84715,,,0.00044320202758700784,,1780036423.3004234,distill,2024,distill_seed2024,23
,,24,,407.217463025,,,,0.0004381524897335388,0.52295,1.92803,,1.76129,,,,,1.69187,0.54992,,2.10954,,0.0004381524897335388,,,,,0.2775,,,1.74198,,0.63056,,,,,1.82731,,,0.0004381524897335388,,1780036438.3377836,distill,2024,distill_seed2024,24
,,25,,421.023625495,,,,0.0004329197352867994,0.52234,1.9136,,1.73629,,,,,1.66766,0.54053,,2.09568,,0.0004329197352867994,,,,,0.28144,,,1.82588,,0.59581,,,,,1.79091,,,0.0004329197352867994,,1780036452.0875692,distill,2024,distill_seed2024,25
,,26,,437.069159847,,,,0.0004275089283436705,0.53816,1.93446,,1.73954,,,,,1.68639,0.54939,,2.08254,,0.0004275089283436705,,,,,0.2816,,,1.91842,,0.58667,,,,,1.80017,,,0.0004275089283436705,,1780036468.2000027,distill,2024,distill_seed2024,26
