results,curves/Precision-Recall(B)_table,_step,PR_curve,_runtime,train_batch3330,val_batch1_labels,val_batch0_pred,lr/pg2,metrics/recall(B),train/dfl_loss,P_curve,val/box_loss,train_batch0,curves/F1-Confidence(B)_table,val_batch2_labels,train_batch3331,train/box_loss,metrics/mAP50(B),model/GFLOPs,val/dfl_loss,model/speed_PyTorch(ms),lr/pg1,labels,R_curve,model/parameters,curves/Precision-Confidence(B)_table,metrics/mAP50-95(B),train_batch1,F1_curve,val/cls_loss,train_batch3332,metrics/precision(B),curves/Recall-Confidence(B)_table,train_batch2,val_batch0_labels,confusion_matrix_normalized,train/cls_loss,confusion_matrix,val_batch1_pred,lr/pg0,val_batch2_pred,_timestamp,variant,seed,run_name,epoch
,,79,,1142.372061934,,,,6.179797241299223e-05,0.6443,1.65207,,1.56044,,,,,1.37638,0.6843,,1.89221,,6.179797241299223e-05,,,,,0.38998,,,1.31902,,0.69811,,,,,1.2568,,,6.179797241299223e-05,,1780037173.3536217,distill,2024,distill_seed2024,79
,,80,,1154.710343917,,,,5.693663443701663e-05,0.62301,1.63615,,1.55103,,,,,1.37416,0.68214,,1.87939,,5.693663443701663e-05,,,,,0.39071,,,1.29752,,0.7202,,,,,1.24985,,,5.693663443701663e-05,,1780037185.8193333,distill,2024,distill_seed2024,80
,,81,,1168.0063577,,,,5.22682938922005e-05,0.60468,1.64448,,1.56624,,,,,1.39076,0.68328,,1.89598,,5.22682938922005e-05,,,,,0.38928,,,1.30627,,0.74102,,,,,1.25711,,,5.22682938922005e-05,,1780037198.8265693,distill,2024,distill_seed2024,81
,,82,,1181.698898605,,,,4.7797557867045985e-05,0.60971,1.64372,,1.56821,,,,,1.37652,0.68723,,1.89069,,4.7797557867045985e-05,,,,,0.3898,,,1.30228,,0.76992,,,,,1.25841,,,4.7797557867045985e-05,,1780037212.8117113,distill,2024,distill_seed2024,82
,,83,,1193.965940054,,,,4.3528838438251336e-05,0.60906,1.62766,,1.54861,,,,,1.35066,0.67893,,1.87736,,4.3528838438251336e-05,,,,,0.38879,,,1.32039,,0.74054,,,,,1.23683,,,4.3528838438251336e-05,,1780037225.0425735,distill,2024,distill_seed2024,83
,,84,,1206.733888876,,,,3.946634831652396e-05,0.62573,1.63052,,1.55568,,,,,1.35793,0.67957,,1.89505,,3.946634831652396e-05,,,,,0.38613,,,1.31474,,0.71772,,,,,1.24095,,,3.946634831652396e-05,,1780037237.5226083,distill,2024,distill_seed2024,84
,,85,,1220.216005622,,,,3.561409668914378e-05,0.62141,1.63928,,1.55463,,,,,1.35632,0.68625,,1.88622,,3.561409668914378e-05,,,,,0.38966,,,1.31084,,0.7254,,,,,1.24257,,,3.561409668914378e-05,,1780037251.2716248,distill,2024,distill_seed2024,85
,,86,,1233.569993728,,,,3.1975885263378965e-05,0.62179,1.63506,,1.55273,,,,,1.35606,0.68405,,1.8896,,3.1975885263378965e-05,,,,,0.38586,,,1.31748,,0.73099,,,,,1.23743,,,3.1975885263378965e-05,,1780037264.642822,distill,2024,distill_seed2024,86
,,87,,1246.390610428,,,,2.855530451466021e-05,0.61914,1.6295,,1.55393,,,,,1.35681,0.68337,,1.88553,,2.855530451466021e-05,,,,,0.38772,,,1.31969,,0.73322,,,,,1.24238,,,2.855530451466021e-05,,1780037277.3373537,distill,2024,distill_seed2024,87
,,88,,1261.007991507,,,,2.5355730143214685e-05,0.619,1.63189,,1.55571,,,,,1.35241,0.68133,,1.88492,,2.5355730143214685e-05,,,,,0.3892,,,1.31942,,0.72527,,,,,1.2305,,,2.5355730143214685e-05,,1780037289.8104835,distill,2024,distill_seed2024,88
,,89,,1273.580659211,,,,2.2380319742657805e-05,0.62623,1.63355,,1.5561,,,,,1.35933,0.68739,,1.8859,,2.2380319742657805e-05,,,,,0.39422,,,1.30216,,0.72977,,,,,1.23201,,,2.2380319742657805e-05,,1780037304.3671083,distill,2024,distill_seed2024,89
,,90,,1288.554839787,,,,1.9632009683829166e-05,0.61791,1.6241,,1.55648,,,,,1.34388,0.68731,,1.88495,,1.9632009683829166e-05,,,,,0.39325,,,1.29411,,0.74329,,,,,1.22081,,,1.9632009683829166e-05,,1780037317.0135727,distill,2024,distill_seed2024,90
,,91,,1302.742406468,"{'path': 'media/images/train_batch3330_91_a51c62a5ba5a4742c4af.jpg', 'sha256': 'a51c62a5ba5a4742c4aff42e65c48244e5a9b68b4b49920bf051b6aa12db9a08', 'size': 654976, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg'}",,,1.7113512216949455e-05,0.61362,1.65271,,1.59386,,,,"{'_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch3331_91_e626da0af1dc53623b70.jpg', 'sha256': 'e626da0af1dc53623b706209f5f900adf2e2ba43ce18d65473d6e7caf68895f3', 'size': 633307, 'height': 1920, 'width': 1920}",1.33924,0.67373,,1.91216,,1.7113512216949455e-05,,,,,0.37861,,,1.3571,"{'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch3332_91_5165e10bf4aae20cacaa.jpg', 'sha256': '5165e10bf4aae20cacaa3023f48b3ebacbd9cda37b4ce38211253517a80f69fa', 'size': 648496, 'height': 1920}",0.72802,,,,,1.17939,,,1.7113512216949455e-05,,1780037333.7993596,distill,2024,distill_seed2024,91
,,92,,1315.788955719,,,,1.4827312794956637e-05,0.61989,1.63726,,1.56394,,,,,1.31367,0.6796,,1.90627,,1.4827312794956637e-05,,,,,0.38483,,,1.32871,,0.73769,,,,,1.13386,,,1.4827312794956637e-05,,1780037346.4788733,distill,2024,distill_seed2024,92
,,93,,1328.101033836,,,,1.2775667620663789e-05,0.61306,1.63322,,1.55354,,,,,1.31848,0.67975,,1.89413,,1.2775667620663789e-05,,,,,0.38754,,,1.31636,,0.74056,,,,,1.10893,,,1.2775667620663789e-05,,1780037359.2290852,distill,2024,distill_seed2024,93
,,94,,1343.56182028,,,,1.0960601420160032e-05,0.61489,1.61007,,1.55227,,,,,1.2969,0.67842,,1.89469,,1.0960601420160032e-05,,,,,0.38739,,,1.31739,,0.74087,,,,,1.10249,,,1.0960601420160032e-05,,1780037371.5726886,distill,2024,distill_seed2024,94
,,95,,1356.793800303,,,,9.383905444649509e-06,0.61858,1.61711,,1.55128,,,,,1.29699,0.68224,,1.88786,,9.383905444649509e-06,,,,,0.38935,,,1.3149,,0.74642,,,,,1.09065,,,9.383905444649509e-06,,1780037387.772108,distill,2024,distill_seed2024,95
,,96,,1369.00927317,,,,8.047135702703378e-06,0.62064,1.61691,,1.55151,,,,,1.29377,0.68244,,1.88998,,8.047135702703378e-06,,,,,0.38856,,,1.31291,,0.7426,,,,,1.08575,,,8.047135702703378e-06,,1780037400.108043,distill,2024,distill_seed2024,96
,,97,,1381.251314427,,,,6.95161142466677e-06,0.61537,1.61316,,1.55548,,,,,1.29113,0.68324,,1.89334,,6.95161142466677e-06,,,,,0.38992,,,1.31232,,0.75206,,,,,1.08487,,,6.95161142466677e-06,,1780037412.3374267,distill,2024,distill_seed2024,97
,,98,,1393.969697669,,,,6.09841376073772e-06,0.61241,1.60908,,1.55467,,,,,1.28705,0.68519,,1.89264,,6.09841376073772e-06,,,,,0.39152,,,1.30238,,0.75484,,,,,1.09396,,,6.09841376073772e-06,,1780037424.8617918,distill,2024,distill_seed2024,98
,,99,,1406.176253087,,,,5.488384714002814e-06,0.62132,1.60132,,1.55295,,,,,1.29508,0.6839,,1.89352,,5.488384714002814e-06,,,,,0.38966,,,1.30696,,0.74715,,,,,1.07493,,,5.488384714002814e-06,,1780037437.3373709,distill,2024,distill_seed2024,99
"{'format': 'png', 'path': 'media/images/results_100_bbd9eb494d8f9e8416af.png', 'sha256': 'bbd9eb494d8f9e8416af2fc4dc7e4cfbb310ab2c7e891a3cc63c241041e51390', 'size': 256483, 'height': 1200, 'width': 2400, '_type': 'image-file'}","{'_type': 'table-file', 'path': 'media/table/curves/Precision-Recall(B)_table_100_bd3705afaff9072e9c4c.table.json', 'sha256': 'bd3705afaff9072e9c4c2d14c81cc9dd9bee2151fa02f0abc32502308a0b391f', 'ncols': 3, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://t41aji3hiavnht5fed8dlnwj9czpn4k126gvingymb28rn6t00pqr0washi3kawbxiwd10gjjl8dg3ucz6kab7q7qke7kh0mwgyq3efrj0484r9eeb8asme3o1era7fu:latest/curves/Precision-Recall(B)_table.table.json', 'size': 7901, 'artifact_path': 'wandb-client-artifact://s2hkc8ia6ngltds1arkll84itjviwc3r8m2z3ohgguyzd2uf8wpjl192czx63vhcd8z8372humeti5b8xi5sygja08l5k6vti81t236mqwxat1dhxseo52sburc0n13s/curves/Precision-Recall(B)_table.table.json', 'nrows': 400}",100,"{'size': 171027, 'height': 1500, 'width': 2250, '_type': 'image-file', 'format': 'png', 'path': 'media/images/PR_curve_100_469c1568062e35076264.png', 'sha256': '469c1568062e35076264f9be6e93cd9ab1a3e54988341b7a467c4041c738ea49'}",1420.072217173,,"{'sha256': 'ec183fed6f1bd8bce2811c709d1755b5f4673184f1ee545c7fe04d707f5cf85d', 'size': 941077, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch1_labels_100_ec183fed6f1bd8bce281.jpg'}","{'size': 850452, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch0_pred_100_a687f63bb57382b25c68.jpg', 'sha256': 'a687f63bb57382b25c682b8a152f7eba778636cdd65857a638e851f9e4152f4b'}",5.122126309481445e-06,0.6282851442955807,1.59256,"{'path': 'media/images/P_curve_100_c85606423ad6429a6bee.png', 'sha256': 'c85606423ad6429a6beeef8f4df30be07f783bec4877121395935f6770ef3f0b', 'size': 188837, 'height': 1500, 'width': 2250, '_type': 'image-file', 'format': 'png'}",1.55477,,"{'log_mode': 'IMMUTABLE', '_type': 'table-file', 'sha256': 'e1cc42520302daafd900e7493fecfdf5551de14ba48d07b17bc180059898f97e', 'size': 7905, 'nrows': 400, 'path': 'media/table/curves/F1-Confidence(B)_table_100_e1cc42520302daafd900.table.json', '_latest_artifact_path': 'wandb-client-artifact://1clvljswcsocsqykveiluym1pytk31rb3wyguc6tu0bmq0orip6hdk40itvsapmg18tl9432dzzrc14cgmb3al1kg0sqejfrvpvtu9njrulnaba5tfo8jspjn9hbirfh:latest/curves/F1-Confidence(B)_table.table.json', 'artifact_path': 'wandb-client-artifact://l3irxxp7c0yfx28quh5an8a8xczddj6gcilbumhwxs60j7gzfv6iy7z7ukaj4r5iyq09m2dby5floc6155k8rovu31cg3e5xn2gjs3yb7z1tecnc0cjv6uk8wp4fmcgt/curves/F1-Confidence(B)_table.table.json', 'ncols': 3}","{'format': 'jpg', 'path': 'media/images/val_batch2_labels_100_41234a56e22e2444808c.jpg', 'sha256': '41234a56e22e2444808c473a56ab93f2d84558b3a104e2b607ab764fade23dc0', 'size': 773689, 'height': 1920, 'width': 1920, '_type': 'image-file'}",,1.28224,0.6875397068339811,,1.89169,,5.122126309481445e-06,,"{'size': 178285, 'height': 1500, 'width': 2250, '_type': 'image-file', 'format': 'png', 'path': 'media/images/R_curve_100_3346baf04ff16b433b49.png', 'sha256': '3346baf04ff16b433b494c75ba4d8ecea62a8f45c33b9e512d5f0130b18960ef'}",,"{'_type': 'table-file', 'sha256': 'a3479e850ca0f4362258fb310ef5c83fff27b0efb50b26af47cf120a4e8cb1f4', 'size': 7891, 'nrows': 400, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://bru7u4vt5rj603i9lflm2ayk22szgmkn53wbwayxp0asowc5qgfqvgxpk6gxs469yfm25pnhta32qw4p0tkmvy303hahqr6nc84vj1seeb2c7tglgo9om96767gj6ufx/curves/Precision-Confidence(B)_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://h8nmkioc3b4lj5dz1yy7saij7eqjm240r95bmpohno82a2fgtocu290gt9xvv8qocdzu3n80nhmr7gn2yal5qstu8au9njah6y2oar5rxikfoiwirz1cf0r0qlgawm0v:latest/curves/Precision-Confidence(B)_table.table.json', 'ncols': 3, 'path': 'media/table/curves/Precision-Confidence(B)_table_100_a3479e850ca0f4362258.table.json'}",0.394082609160877,,"{'path': 'media/images/F1_curve_100_5b9b2c02b6086649edc9.png', 'sha256': '5b9b2c02b6086649edc994836f03541622d363fd1098c91f2755de6c566d3df1', 'size': 186214, 'height': 1500, 'width': 2250, '_type': 'image-file', 'format': 'png'}",1.30679,,0.7266612656754825,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://xzhwbr0p2ov82qvslearzryytkogu6yswgz3lt5suhxiyb3q31bxsqijgjqebdjyaj4zu7t0nar87t3321w78y2w6cmtxhgb2eicwn85hayahz4amcd8llw7735aupnm/curves/Recall-Confidence(B)_table.table.json', 'sha256': '01292fba12c9320b10f3f23ca467c352673cc277ef169eeebd9da9542d04f6d4', '_latest_artifact_path': 'wandb-client-artifact://1uybla68k5hdlqjp1aemwfvfj8w9fk85s92gzwfm1zxbewguszlwqyg7ewn3aduwc5oy48sa0xssritdmcpuxk1njpz89cf766n4hag8f2jsdg41c2skpb29si39tppp:latest/curves/Recall-Confidence(B)_table.table.json', 'path': 'media/table/curves/Recall-Confidence(B)_table_100_01292fba12c9320b10f3.table.json', 'size': 7904, '_type': 'table-file', 'ncols': 3, 'nrows': 400}",,"{'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch0_labels_100_191276c6f2c0357df44e.jpg', 'sha256': '191276c6f2c0357df44e7eb8ef7d165ea3046b08d018116d8f819c80923a7bf7', 'size': 848160, 'height': 1920}","{'width': 3000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/confusion_matrix_normalized_100_64cce4be38f256fb6642.png', 'sha256': '64cce4be38f256fb6642842047488f2d2f16e0efc8f3ed3d0e74fb574f6349a4', 'size': 113784, 'height': 2250}",1.07679,"{'_type': 'image-file', 'format': 'png', 'path': 'media/images/confusion_matrix_100_7ef42eb71f5d90350236.png', 'sha256': '7ef42eb71f5d9035023690ba089c3e90c2e16933039ee1551c5ce80998d3ce48', 'size': 100820, 'height': 2250, 'width': 3000}","{'_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch1_pred_100_a257c7f15c457d146629.jpg', 'sha256': 'a257c7f15c457d1466296e0dbd68f0c5665ade62b1aa694adfe99f09889b89d3', 'size': 956671, 'height': 1920, 'width': 1920}",5.122126309481445e-06,"{'size': 785226, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch2_pred_100_493ee53c2a98ae0499c9.jpg', 'sha256': '493ee53c2a98ae0499c910e8b6b22383d329e0a3057cddf2230c5d2620a26323'}",1780037460.5803158,distill,2024,distill_seed2024,100
