train_batch0,_step,confusion_matrix,metrics/mAP50(B),_timestamp,curves/F1-Confidence(B)_table,train_batch2,PR_curve,val_batch0_labels,val/cls_loss,metrics/precision(B),val_batch0_pred,P_curve,train_batch1,train/dfl_loss,confusion_matrix_normalized,model/parameters,labels,F1_curve,_runtime,model/GFLOPs,train/cls_loss,lr/pg0,val/dfl_loss,lr/pg1,val_batch2_labels,val_batch2_pred,train/box_loss,train_batch3330,train_batch3331,val_batch1_labels,results,curves/Precision-Recall(B)_table,lr/pg2,curves/Precision-Confidence(B)_table,val/box_loss,metrics/recall(B),curves/Recall-Confidence(B)_table,R_curve,metrics/mAP50-95(B),val_batch1_pred,model/speed_PyTorch(ms),train_batch3332,variant,seed,run_name,epoch
,17,,0.49714,1780034887.384562,,,,,1.98662,0.58039,,,,2.01941,,,,,303.670754902,,1.98779,0.00046938590331085624,2.15903,0.00046938590331085624,,,1.80285,,,,,,0.00046938590331085624,,1.79927,0.4755,,,0.24423,,,,distill,1337,distill_seed1337,17
,18,,0.4887,1780034900.1324687,,,,,1.9366,0.55129,,,,2.0253,,,,,316.515870587,,1.9493,0.0004655336516834761,2.19667,0.0004655336516834761,,,1.77677,,,,,,0.0004655336516834761,,1.83209,0.49335,,,0.24439,,,,distill,1337,distill_seed1337,18
,19,,0.51828,1780034913.025323,,,,,1.86526,0.56063,,,,1.99099,,,,,329.400927224,,1.92197,0.0004614711615617487,2.14186,0.0004614711615617487,,,1.75068,,,,,,0.0004614711615617487,,1.76148,0.4976,,,0.26693,,,,distill,1337,distill_seed1337,19
,20,,0.52598,1780034925.6307669,,,,,1.83743,0.61433,,,,1.99327,,,,,341.936749137,,1.9036,0.00045720244213295403,2.14391,0.00045720244213295403,,,1.74964,,,,,,0.00045720244213295403,,1.77485,0.5103,,,0.26582,,,,distill,1337,distill_seed1337,20
,21,,0.51296,1780034939.1914825,,,,,2.00625,0.58179,,,,1.96066,,,,,355.533885045,,1.87615,0.0004527317061077995,2.1559,0.0004527317061077995,,,1.73262,,,,,,0.0004527317061077995,,1.81752,0.47723,,,0.24958,,,,distill,1337,distill_seed1337,21
,22,,0.50132,1780034953.2990994,,,,,2.04474,0.60864,,,,1.95578,,,,,369.62706179,,1.86669,0.0004480633655629834,2.15652,0.0004480633655629834,,,1.7141,,,,,,0.0004480633655629834,,1.80421,0.46213,,,0.25122,,,,distill,1337,distill_seed1337,22
,23,,0.53493,1780034966.7736797,,,,,1.89945,0.60309,,,,1.95196,,,,,383.395876254,,1.84188,0.00044320202758700784,2.1218,0.00044320202758700784,,,1.69705,,,,,,0.00044320202758700784,,1.75753,0.49258,,,0.27324,,,,distill,1337,distill_seed1337,23
,24,,0.55786,1780034980.120627,,,,,1.78751,0.62695,,,,1.93467,,,,,396.666642401,,1.81221,0.0004381524897335388,2.11343,0.0004381524897335388,,,1.69288,,,,,,0.0004381524897335388,,1.759,0.50778,,,0.2854,,,,distill,1337,distill_seed1337,24
,25,,0.54699,1780034993.0282876,,,,,1.75446,0.58553,,,,1.9137,,,,,409.280771882,,1.76468,0.0004329197352867994,2.08796,0.0004329197352867994,,,1.67186,,,,,,0.0004329197352867994,,1.74987,0.50848,,,0.28551,,,,distill,1337,distill_seed1337,25
,26,,0.54806,1780035006.0111363,,,,,1.77306,0.61728,,,,1.92969,,,,,422.427444539,,1.78859,0.0004275089283436705,2.11053,0.0004275089283436705,,,1.68122,,,,,,0.0004275089283436705,,1.76479,0.51956,,,0.28092,,,,distill,1337,distill_seed1337,26
