train_batch0,_step,confusion_matrix,metrics/mAP50(B),_timestamp,curves/F1-Confidence(B)_table,train_batch2,PR_curve,val_batch0_labels,val/cls_loss,metrics/precision(B),val_batch0_pred,P_curve,train_batch1,train/dfl_loss,confusion_matrix_normalized,model/parameters,labels,F1_curve,_runtime,model/GFLOPs,train/cls_loss,lr/pg0,val/dfl_loss,lr/pg1,val_batch2_labels,val_batch2_pred,train/box_loss,train_batch3330,train_batch3331,val_batch1_labels,results,curves/Precision-Recall(B)_table,lr/pg2,curves/Precision-Confidence(B)_table,val/box_loss,metrics/recall(B),curves/Recall-Confidence(B)_table,R_curve,metrics/mAP50-95(B),val_batch1_pred,model/speed_PyTorch(ms),train_batch3332,variant,seed,run_name,epoch
,81,,0.69055,1780035745.24084,,,,,1.31175,0.69308,,,,1.63833,,,,,1161.721841282,,1.25882,5.22682938922005e-05,1.8858,5.22682938922005e-05,,,1.38936,,,,,,5.22682938922005e-05,,1.55635,0.64098,,,0.39298,,,,distill,1337,distill_seed1337,81
,82,,0.69284,1780035759.2543135,,,,,1.30354,0.7158,,,,1.64841,,,,,1175.811106534,,1.25868,4.7797557867045985e-05,1.88872,4.7797557867045985e-05,,,1.38395,,,,,,4.7797557867045985e-05,,1.55822,0.63892,,,0.39595,,,,distill,1337,distill_seed1337,82
,83,,0.69467,1780035771.5872095,,,,,1.31021,0.69833,,,,1.62745,,,,,1187.959137469,,1.23595,4.3528838438251336e-05,1.88468,4.3528838438251336e-05,,,1.34709,,,,,,4.3528838438251336e-05,,1.5614,0.64519,,,0.39736,,,,distill,1337,distill_seed1337,83
,84,,0.69091,1780035783.7903633,,,,,1.30693,0.70787,,,,1.63442,,,,,1200.171205075,,1.23668,3.946634831652396e-05,1.89381,3.946634831652396e-05,,,1.36023,,,,,,3.946634831652396e-05,,1.55931,0.62478,,,0.39662,,,,distill,1337,distill_seed1337,84
,85,,0.6896,1780035797.8967168,,,,,1.31348,0.71226,,,,1.63722,,,,,1214.677159688,,1.2342,3.561409668914378e-05,1.88181,3.561409668914378e-05,,,1.35537,,,,,,3.561409668914378e-05,,1.54713,0.6305,,,0.39827,,,,distill,1337,distill_seed1337,85
,86,,0.68812,1780035811.754214,,,,,1.32106,0.71437,,,,1.63574,,,,,1228.483678478,,1.2399,3.1975885263378965e-05,1.88624,3.1975885263378965e-05,,,1.36202,,,,,,3.1975885263378965e-05,,1.56095,0.62025,,,0.39372,,,,distill,1337,distill_seed1337,86
,87,,0.69075,1780035824.3385792,,,,,1.30643,0.70189,,,,1.63136,,,,,1240.895549986,,1.23848,2.855530451466021e-05,1.88144,2.855530451466021e-05,,,1.36247,,,,,,2.855530451466021e-05,,1.55382,0.62548,,,0.39627,,,,distill,1337,distill_seed1337,87
,88,,0.6889,1780035836.519275,,,,,1.3098,0.69706,,,,1.62898,,,,,1258.321224005,,1.23309,2.5355730143214685e-05,1.88222,2.5355730143214685e-05,,,1.35412,,,,,,2.5355730143214685e-05,,1.55323,0.62978,,,0.39874,,,,distill,1337,distill_seed1337,88
,89,,0.68985,1780035854.0266228,,,,,1.30346,0.71229,,,,1.63376,,,,,1270.463533125,,1.23467,2.2380319742657805e-05,1.88049,2.2380319742657805e-05,,,1.36375,,,,,,2.2380319742657805e-05,,1.55474,0.63017,,,0.40151,,,,distill,1337,distill_seed1337,89
,90,,0.69424,1780035866.123901,,,,,1.30092,0.73942,,,,1.62646,,,,,1285.356894814,,1.22578,1.9632009683829166e-05,1.87566,1.9632009683829166e-05,,,1.34525,,,,,,1.9632009683829166e-05,,1.55038,0.6108,,,0.4016,,,,distill,1337,distill_seed1337,90
,91,,0.68704,1780035882.8973105,,,,,1.3392,0.70636,,,,1.6538,,,,,1299.99052794,,1.19593,1.7113512216949455e-05,1.91557,1.7113512216949455e-05,,,1.3428,"{'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch3330_91_a51c62a5ba5a4742c4af.jpg', 'sha256': 'a51c62a5ba5a4742c4aff42e65c48244e5a9b68b4b49920bf051b6aa12db9a08', 'size': 654976}","{'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch3331_91_e626da0af1dc53623b70.jpg', 'sha256': 'e626da0af1dc53623b706209f5f900adf2e2ba43ce18d65473d6e7caf68895f3', 'size': 633307, 'height': 1920}",,,,1.7113512216949455e-05,,1.59852,0.62549,,,0.39055,,,"{'format': 'jpg', 'path': 'media/images/train_batch3332_91_5165e10bf4aae20cacaa.jpg', 'sha256': '5165e10bf4aae20cacaa3023f48b3ebacbd9cda37b4ce38211253517a80f69fa', 'size': 648496, 'height': 1920, 'width': 1920, '_type': 'image-file'}",distill,1337,distill_seed1337,91
,92,,0.68273,1780035895.7318082,,,,,1.30684,0.75129,,,,1.64106,,,,,1312.225112907,,1.13793,1.4827312794956637e-05,1.89539,1.4827312794956637e-05,,,1.32254,,,,,,1.4827312794956637e-05,,1.55884,0.60077,,,0.39331,,,,distill,1337,distill_seed1337,92
,93,,0.68831,1780035908.111977,,,,,1.30372,0.72999,,,,1.62574,,,,,1324.465196196,,1.1042,1.2775667620663789e-05,1.88944,1.2775667620663789e-05,,,1.31798,,,,,,1.2775667620663789e-05,,1.54973,0.61407,,,0.39711,,,,distill,1337,distill_seed1337,93
,94,,0.68639,1780035921.8368835,,,,,1.29961,0.73534,,,,1.60658,,,,,1338.461344865,,1.10219,1.0960601420160032e-05,1.89667,1.0960601420160032e-05,,,1.29836,,,,,,1.0960601420160032e-05,,1.55568,0.61349,,,0.39571,,,,distill,1337,distill_seed1337,94
,95,,0.6872,1780035934.5217392,,,,,1.30229,0.72098,,,,1.61862,,,,,1350.912520832,,1.09313,9.383905444649509e-06,1.89734,9.383905444649509e-06,,,1.30247,,,,,,9.383905444649509e-06,,1.55594,0.62672,,,0.3966,,,,distill,1337,distill_seed1337,95
,96,,0.68845,1780035946.7217577,,,,,1.30225,0.72243,,,,1.61603,,,,,1363.081799319,,1.08868,8.047135702703378e-06,1.895,8.047135702703378e-06,,,1.29197,,,,,,8.047135702703378e-06,,1.55275,0.62752,,,0.39775,,,,distill,1337,distill_seed1337,96
,97,,0.69209,1780035958.7168474,,,,,1.29573,0.72893,,,,1.62463,,,,,1375.350376616,,1.09492,6.95161142466677e-06,1.89229,6.95161142466677e-06,,,1.30532,,,,,,6.95161142466677e-06,,1.55123,0.62333,,,0.39898,,,,distill,1337,distill_seed1337,97
,98,,0.6924,1780035972.3071482,,,,,1.2941,0.71961,,,,1.61941,,,,,1389.978043795,,1.09874,6.09841376073772e-06,1.88713,6.09841376073772e-06,,,1.30284,,,,,,6.09841376073772e-06,,1.54847,0.63046,,,0.40023,,,,distill,1337,distill_seed1337,98
,99,,0.69218,1780035985.7283475,,,,,1.2973,0.72831,,,,1.60436,,,,,1402.145420874,,1.07384,5.488384714002814e-06,1.89233,5.488384714002814e-06,,,1.30036,,,,,,5.488384714002814e-06,,1.54937,0.62324,,,0.39966,,,,distill,1337,distill_seed1337,99
,100,"{'format': 'png', 'path': 'media/images/confusion_matrix_100_b5cc8789ac5be4e26762.png', 'sha256': 'b5cc8789ac5be4e267625b9048dc7afb202580712197ef0a0c8b825fb8e28be3', 'size': 102160, 'height': 2250, 'width': 3000, '_type': 'image-file'}",0.6943684692947123,1780036008.6031034,"{'nrows': 400, 'artifact_path': 'wandb-client-artifact://gxkh8tgsb9sivk1r9ho0igyl1mdy17kv6a7x25pwgz5ux4sqld0zli8q1dv7s53nnmqc5ncnk64eijg49ckj05qcfy5ad1ut7ylbs0ucgb0equmyyr8vvp97c3thd3we/curves/F1-Confidence(B)_table.table.json', 'size': 7901, '_type': 'table-file', 'path': 'media/table/curves/F1-Confidence(B)_table_100_68924a4f73da7963a209.table.json', 'sha256': '68924a4f73da7963a209a7a343547f689bf56b5e3d3e31a9420a16e089008a78', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://lh3ibti9nsn3mnnxfl9d9antaitzzvkluuzqrvmdftajdjvinjqb2xqo2o5kmkueuk7fwfkwmpfvo9l68nz0dm5cm1xw8jt6w01ujc24guohqsbkng2f9rof8iwnetsr:latest/curves/F1-Confidence(B)_table.table.json', 'ncols': 3}",,"{'path': 'media/images/PR_curve_100_117f6d4b33032864471f.png', 'sha256': '117f6d4b33032864471ff256a49a69b5a7c4310989fc862d0d083d1601081931', 'size': 167891, 'height': 1500, 'width': 2250, '_type': 'image-file', 'format': 'png'}","{'_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch0_labels_100_191276c6f2c0357df44e.jpg', 'sha256': '191276c6f2c0357df44e7eb8ef7d165ea3046b08d018116d8f819c80923a7bf7', 'size': 848160, 'height': 1920, 'width': 1920}",1.29738,0.7401627096129092,"{'_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch0_pred_100_075e7683de28aabb0380.jpg', 'sha256': '075e7683de28aabb03806ab29f88361c73dfe94935633f723e83c2d2ea22d7bc', 'size': 846130, 'height': 1920, 'width': 1920}","{'_type': 'image-file', 'format': 'png', 'path': 'media/images/P_curve_100_9cb7e0b297da4dda9d5b.png', 'sha256': '9cb7e0b297da4dda9d5bb2a2db18d5f2a8adc5086e4f909c8997bfd2bce629f7', 'size': 171354, 'height': 1500, 'width': 2250}",,1.60158,"{'width': 3000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/confusion_matrix_normalized_100_8e82858d208f9ffc1b74.png', 'sha256': '8e82858d208f9ffc1b744ab672406df9502a5c2993576c7293632bc10e0a706b', 'size': 112142, 'height': 2250}",,,"{'_type': 'image-file', 'format': 'png', 'path': 'media/images/F1_curve_100_4d09d9cc69716e8cd580.png', 'sha256': '4d09d9cc69716e8cd580f58f2710ae8b3b20465504a212089b33e92cb188b9af', 'size': 185188, 'height': 1500, 'width': 2250}",1415.49282396,,1.07845,5.122126309481445e-06,1.89123,5.122126309481445e-06,"{'format': 'jpg', 'path': 'media/images/val_batch2_labels_100_41234a56e22e2444808c.jpg', 'sha256': '41234a56e22e2444808c473a56ab93f2d84558b3a104e2b607ab764fade23dc0', 'size': 773689, 'height': 1920, 'width': 1920, '_type': 'image-file'}","{'sha256': '1d3031599dd1be6b2a762bd4f08b425ce83efedb19c1d622c21978f0bed55705', 'size': 776824, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch2_pred_100_1d3031599dd1be6b2a76.jpg'}",1.29411,,,"{'size': 941077, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch1_labels_100_ec183fed6f1bd8bce281.jpg', 'sha256': 'ec183fed6f1bd8bce2811c709d1755b5f4673184f1ee545c7fe04d707f5cf85d'}","{'_type': 'image-file', 'format': 'png', 'path': 'media/images/results_100_568e852cee834fffa0f9.png', 'sha256': '568e852cee834fffa0f9be8ac375ebb705b95fcfbb8fe86734896c2de8f3ed38', 'size': 251518, 'height': 1200, 'width': 2400}","{'sha256': 'ff878e514f322455aca81afa57ff67019c9420e22444464c3bb7c7db564e5fe5', 'ncols': 3, 'nrows': 400, '_type': 'table-file', 'size': 7912, '_latest_artifact_path': 'wandb-client-artifact://uvuyrfrusyjsf8amg7j59s0e3mrx415uc8tm38dwd2fams62z73usv08u4fiq0nj8bmxobaa0klkx7g0yoixsyuaol0ctm7lk0d3ok7lzg9ryueg1o2p0prawpsuyj0t:latest/curves/Precision-Recall(B)_table.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://jtf78gvgbx73cd8plnmknshnls872mzv8r8li2gjcs230eb2ryombk7neki3ikcogi5vx78pwx71ne5p3b72xk5poqjwuk96bsuyenx768bx9a4umw6mg7nb75v2k6xx/curves/Precision-Recall(B)_table.table.json', 'path': 'media/table/curves/Precision-Recall(B)_table_100_ff878e514f322455aca8.table.json'}",5.122126309481445e-06,"{'sha256': '299dc10fbc3638873414260a2d701a199143d801a12a87230c338b7015925c01', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://li2p9j98pk5z4xd7eqccrb9gjuo6yw3jl8xc3ic3dsnh8iipve6ogg39wud03pmvqzf90jrx2bx6jyzqogaog4tr44n0umirp3gsnrga414nzku9cqtx20cxk4rj39qi:latest/curves/Precision-Confidence(B)_table.table.json', 'path': 'media/table/curves/Precision-Confidence(B)_table_100_299dc10fbc3638873414.table.json', 'nrows': 400, 'artifact_path': 'wandb-client-artifact://5gh33pjlf6thr3zedawp8hjpxpp1iidvdpwjtttchzwdmee9gheoxqfdzfwk4swvavnv1lkc48y1itei6olhm72c9d19a8gelbupdmznm4l6p916ic84ri2gjoeasm2t/curves/Precision-Confidence(B)_table.table.json', 'size': 7862, '_type': 'table-file', 'ncols': 3}",1.55137,0.610152521521908,"{'path': 'media/table/curves/Recall-Confidence(B)_table_100_3401df501997b55d3195.table.json', 'artifact_path': 'wandb-client-artifact://8m8eiwlihog3va2syfpwswg2t97mc1i6mo2plcvccxkt9fgnx6uk1il4w8mwpbkqqpho1ovovu09u43d31wra5429hfl17h3ycu9shqik593p0h1rrfc86xyhmjgqoye/curves/Recall-Confidence(B)_table.table.json', 'nrows': 400, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'ncols': 3, 'sha256': '3401df501997b55d319579b4e3e5bc302796d8dd1cb97fea6d3f759fffe916d3', 'size': 7903, '_latest_artifact_path': 'wandb-client-artifact://1gbcfd3v9bojcet9j70o6800cgwvbad6s8zxev2a5w12bt4i3opv0ofzp2k70uu3ovgzf5u5pjjhtae96wn7k5h6gh5qpzw7tvj12esx6qwgzx4pdocbkm9491far0bw:latest/curves/Recall-Confidence(B)_table.table.json'}","{'size': 176059, 'height': 1500, 'width': 2250, '_type': 'image-file', 'format': 'png', 'path': 'media/images/R_curve_100_853d40f2695a5fe9e0d0.png', 'sha256': '853d40f2695a5fe9e0d09d8a07f8a1b3d4dca3b0b1b9c99ce0190adbb5ac5397'}",0.40169252684768936,"{'sha256': 'dd8ff7224f31b1cb640c7224585264c0a4e115b14320bbbf6c365a1f83f24181', 'size': 952336, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch1_pred_100_dd8ff7224f31b1cb640c.jpg'}",,,distill,1337,distill_seed1337,100
