train_batch2,train/dfl_loss,PR_curve,val/dfl_loss,val_batch2_pred,train_batch1,F1_curve,lr/pg0,metrics/mAP50-95(B),model/parameters,train/box_loss,val_batch0_labels,val_batch2_labels,_step,results,R_curve,_runtime,labels,_timestamp,metrics/recall(B),model/speed_PyTorch(ms),curves/Precision-Confidence(B)_table,confusion_matrix,metrics/mAP50(B),lr/pg2,val/box_loss,curves/F1-Confidence(B)_table,lr/pg1,curves/Recall-Confidence(B)_table,model/GFLOPs,val_batch1_pred,metrics/precision(B),confusion_matrix_normalized,train/cls_loss,val_batch0_pred,curves/Precision-Recall(B)_table,train_batch0,P_curve,val_batch1_labels,val/cls_loss,variant,seed,run_name,epoch
,2.04943,,2.2919,,,,0.0004655336516834761,0.3537,,1.49799,,,18,,,929.55259207,,1779996536.9771035,0.58393,,,,0.6314,0.0004655336516834761,1.60338,,0.0004655336516834761,,,,0.68803,,1.56271,,,,,,1.55005,p2,42,p2_seed42,18
,2.0378,,2.22588,,,,0.0004614711615617487,0.34909,,1.46892,,,19,,,977.647747311,,1779996589.4115202,0.5756,,,,0.63041,0.0004614711615617487,1.51968,,0.0004614711615617487,,,,0.6758,,1.50697,,,,,,1.55881,p2,42,p2_seed42,19
,2.02684,,2.23778,,,,0.00045720244213295403,0.35746,,1.45556,,,20,,,1026.763545182,,1779996638.2772462,0.57795,,,,0.63689,0.00045720244213295403,1.56682,,0.00045720244213295403,,,,0.67831,,1.47973,,,,,,1.53667,p2,42,p2_seed42,20
,2.007,,2.24369,,,,0.0004527317061077995,0.37296,,1.43671,,,21,,,1073.819478782,,1779996685.4385316,0.61235,,,,0.64596,0.0004527317061077995,1.55189,,0.0004527317061077995,,,,0.64682,,1.4484,,,,,,1.47609,p2,42,p2_seed42,21
,2.00844,,2.25481,,,,0.0004480633655629834,0.35419,,1.43202,,,22,,,1122.71224924,,1779996732.4838245,0.58995,,,,0.62444,0.0004480633655629834,1.57058,,0.0004480633655629834,,,,0.64422,,1.44816,,,,,,1.59738,p2,42,p2_seed42,22
,1.98524,,2.21458,,,,0.00044320202758700784,0.36353,,1.40736,,,23,,,1170.083367461,,1779996781.4285674,0.56864,,,,0.63122,0.00044320202758700784,1.55682,,0.00044320202758700784,,,,0.68328,,1.4387,,,,,,1.57573,p2,42,p2_seed42,23
,1.97638,,2.28945,,,,0.0004381524897335388,0.36242,,1.40429,,,24,,,1222.03403587,,1779996830.9733953,0.60895,,,,0.6529,0.0004381524897335388,1.58713,,0.0004381524897335388,,,,0.67881,,1.38396,,,,,,1.4854,p2,42,p2_seed42,24
,1.98084,,2.27176,,,,0.0004329197352867994,0.36635,,1.40834,,,25,,,1269.20622915,,1779996880.733045,0.59931,,,,0.64495,0.0004329197352867994,1.5778,,0.0004329197352867994,,,,0.66291,,1.38916,,,,,,1.52358,p2,42,p2_seed42,25
,1.96162,,2.23291,,,,0.0004275089283436705,0.38213,,1.38749,,,26,,,1316.220537649,,1779996927.9609294,0.60942,,,,0.66116,0.0004275089283436705,1.54757,,0.0004275089283436705,,,,0.68226,,1.35163,,,,,,1.44281,p2,42,p2_seed42,26
,1.94789,,2.21901,,,,0.0004219254087173504,0.38354,,1.36657,,,27,,,1363.409292504,,1779996974.957823,0.61771,,,,0.66513,0.0004219254087173504,1.52559,,0.0004219254087173504,,,,0.66897,,1.3052,,,,,,1.39063,p2,42,p2_seed42,27
