variant,n_seeds,map50_mean,map50_std,map50_95_mean,map50_95_std,precision_mean,precision_std,recall_mean,recall_std,AP50_MH_mean,AP50_MH_std,AP50_PH_mean,AP50_PH_std,AP50_WLPH_mean,AP50_WLPH_std
baseline,3,0.7265980020102799,0.007411094771696645,0.4362919210903759,0.005798214992281545,0.7275652264798534,0.028108941493822887,0.709798977179351,0.023983145058300924,0.8582228567722366,0.009367902945179342,0.5703219694599398,0.018307337197531946,0.7512491797986631,0.015620840902172535
cbam,3,0.7240945241235729,0.00996333865891408,0.4309698151272896,0.007967364565253992,0.736582208735905,0.03716971400922435,0.6976137768325436,0.0054068842051932225,0.8499698317567921,0.005962176363277661,0.5869504973991835,0.010876257243184168,0.7353632432147433,0.01584744624401006
combined,3,0.7095037949761114,0.007957175485515928,0.42114348951468356,0.004840373104260565,0.7089077470781433,0.02668545639654936,0.6810330130278316,0.019648178491319362,0.854265503911794,0.009244402488300637,0.5703171756886024,0.020014559137107157,0.7039287053279374,0.01956604799663947
distill,3,0.7226540269665752,0.008678150574494838,0.4212914514342983,0.0027081321704654293,0.7602113614321389,0.010747837213383387,0.6477225269588129,0.014941322485035328,0.8526359414579959,0.005490606588848959,0.5819853314425448,0.011189539512540998,0.7333408079991847,0.012043777809214836
p2,3,0.7257868683315639,0.0056013415095614106,0.4354270886188927,0.0074732637113712,0.7296057696034892,0.01448802259668699,0.7089144674902504,0.011674711706108351,0.8582607200938085,0.0008329276548174962,0.5793169175733985,0.00502556085110843,0.7397829673274852,0.014982208306322598
sizeaware,3,0.7262820064018177,0.003282123858515956,0.43299548776198415,0.0027162726999698864,0.7524950247610231,0.01796906228061925,0.6900849669370609,0.019731276840668235,0.8599563901219982,0.004714382298842919,0.5888305986714045,0.004001851588011041,0.7300590304120504,0.006401996769503584
